Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status,Scientific Name - Concept Reference,Taxonomy Comments,Provincial FRPA Comments,COSEWIC Date,SARA Schedule,SARA Status,SARA Date
Lycenchelys micropora,,Manytoothed Eelpout,,F-LYMI,AFCMG04050,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Lycodapus dermatinus,,Looseskin Eelpout,,F-LYDE,AFCMG05060,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Lycodapus endemoscotus,,Deepwater Slipskin,,F-LYEN,AFCMG05040,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Lycodapus fierasfer,,Blackmouth Slipskin,,F-LYFI,AFCMG05010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Lycodapus mandibularis,,Pallid Eelpout,,F-LYMA,AFCMG05020,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Lycodapus pachysoma,,Stout Slipskin,,F-LYPA,AFCMG05050,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Lycodapus parviceps,,Smallhead Eelpout,,F-LYPR,AFCMG05030,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Lycodapus psarostomatus,,Specklemouth Eelpout,,F-LYPS,AFCS805040,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Lycodes brevipes,,Shortfin Eelpout,,F-LYBR,AFCS806010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Lycodes cortezianus,,Bigfin Eelpout,,F-LYCO,AFCS806160,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Lycodes diapterus,,Black Eelpout,,F-LYDI,AFCS806020,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Lycodes pacificus,,Blackbelly Eelpout,,F-LYPC,AFCMG07010,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Lycodes palearis,,Wattled Eelpout,,F-LYPL,AFCS806050,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Lyopsetta exilis,Eopsetta exilis,Slender Sole,,F-LYEX,AFCTB04020,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",Jan. 2007 - changed from Eopsetta exilis as per NatureServe (DDW).,,,,,
Macropinna microstoma,,Barreleye,,F-MAMI,AFCHG01010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Argentiniformes,Opisthoproctidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Magnisudis atlantica,,Duckbill Barracudina,,F-MAAT,AFC8D01010,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Aulopiformes,Paralepididae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Malacocottus kincaidi,,Blackfin Sculpin,,F-MAKI,AFC4E36010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Psychrolutidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Malacocottus zonurus,,Darkfin Sculpin,,F-MAZO,AFC4E36020,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Psychrolutidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Mallotus villosus,,Capelin,,F-MAVI,AFCHB06010,G5,Jan-08,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Osmeriformes,Osmeridae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Margariscus nachtriebi,Margariscus margarita,Pearl Dace,,F-MANA,AFCJB54020,G5,Dec-17,S4,Mar-19,May-19,,,Yellow,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,,,,,,,Native,Regularly occurring,,,N,Y,,"Bailey, R. M., W. C. Latta, and G. R. Smith. 2004. An atlas of Michigan fishes with keys and illustrations for their identification. University of Michigan Museum of Zoology Miscellaneous Publications No. 192. iv + 215 pp.",March 2012 - changed from Margariscus margarita to Margariscus nachtriebi to align with NatureServe (DDW).,,,,,
Maulisia argipalla,,Pitted Tubeshoulder,,F-MAAR,AFCHK02010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Argentiniformes,Platytroctidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Medialuna californiensis,,Halfmoon,,F-MECA,AFCRN04010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Kyphosidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Melamphaes lugubris,,Highsnout Ridgehead,,F-MELU,AFC9C01010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Stephanoberyciformes,Melamphaidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Melanonus zugmayeri,,Arrowtail,,F-MEZU,AFCMJ01010,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Gadiformes,Melanonidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Melanostigma pammelas,,Pacific Soft Pout,,F-MEPA,AFCS811020,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Merluccius productus,,Pacific Hake,,F-MEPR,AFCMA10020,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Gadiformes,Merlucciidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Microgadus proximus,,Pacific Tomcod,,F-MIPR,AFCMA02020,G5,Apr-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Gadiformes,Gadidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Micropterus dolomieu,,Smallmouth Bass,,F-MIDO,AFCQB12020,G5,Feb-16,SNA,May-19,Jan-03,,,Exotic,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Centrarchidae,,,,,,,Exotic,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Micropterus salmoides,,Largemouth Bass,,F-MISA,AFCQB12050,G5,Feb-16,SNA,May-19,Jan-03,,,Exotic,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Centrarchidae,,,,,,,Exotic,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Microstomus pacificus,,Dover Sole,,F-MIPA,AFCTB14010,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Misgurnus anguillicaudatus,,Oriental Weatherfish,,F-MIAN,AFCJD01010,G5,Sep-96,SNA,May-19,Dec-15,,,Exotic,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Cypriniformes,Cobitidae,,,,,,,Exotic,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Mola mola,,Ocean Sunfish,,F-MOMO,AFC3F01020,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Tetraodontiformes,Molidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Mola tecta,,Hoodwinker Sunfish,,F-MOTE,AFC3F01030,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Tetraodontiformes,Molidae,,,,,,,Native,Regularly occurring,,,N,N,,"Nyegaard, M., E. Sawai, N. Gemmell, J. Gillum, N. R. Loneragan, Y. Yamanoue, and A. L. Stewart. 2017. Hiding in broad daylight: molecular and morphological data reveal a new ocean sunfsh species (Tetraodontiformes: Molidae) that has eluded recognition. Zoological Journal of the Linnean Society:1-28.",,,,,,
Mylocheilus caurinus,,Peamouth,,F-MYCA,AFCJB24010,G5,Feb-16,S5,May-19,Jan-92,,,Yellow,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Myoxocephalus polyacanthocephalus,,Great Sculpin,,F-MYPO,AFC4E04070,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Myoxocephalus scorpius,,Shorthorn Sculpin,,F-MYSC,AFC4E04100,G5,Feb-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Nannobrachium regale,,Pinpoint Lanternfish,,F-NARE,AFCVH04010,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Myctophiformes,Myctophidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Nannobrachium ritteri,,Broadfin Lanternfish,,F-NARI,AFCVH13010,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Myctophiformes,Myctophidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Nansenia candida,,Bluethroat Argentine,,F-NACA,AFCHJ01010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Argentiniformes,Microstomatidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Naucrates ductor,,Pilotfish,,F-NADU,AFCQZ07010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Perciformes,Carangidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Nautichthys oculofasciatus,,Sailfin Sculpin,,F-NAOC,AFC4E05010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hemitripteridae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Nautichthys robustus,,Shortmast Sculpin,,F-NARO,AFC4E05030,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hemitripteridae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Nectoliparis pelagicus,,Tadpole Snailfish,,F-NEPE,AFC4G14010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Nemichthys scolopaceus,,Slender Snipe Eel,,F-NESC,AFCEJ01010,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Anguilliformes,Nemichthyidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Neoscopelus macrolepidotus,,Glowingfish,,F-NEMA,AFCVJ01010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Myctophiformes,Neoscopelidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Nezumia stelgidolepis,,California Grenadier,,F-NEST,AFCMC02030,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Gadiformes,Macrouridae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Notacanthus chemnitzii,,Largescale Tapirfish,,F-NOCH,AFCUA01010,G5,Dec-17,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Albuliformes,Notacanthidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",Jan. 2007 - changed from Notacanthus chemnitzi as per NatureServe (DDW).,,,,,
Notorynchus cepedianus,,Broadnose Sevengill Shark,,F-NOCE,AFDBB02010,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,cartilaginous fishes,,Animalia,Craniata,Chondrichthyes,Hexanchiformes,Hexanchidae,,,,,,,Native,Regularly occurring,,,N,N,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
Notoscopelus japonicus,,Spiny Lanternfish,,F-NOJA,AFCVH05040,GNR,,SNR,,,,,Not Reviewed,,,,,,,,,,,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Myctophiformes,Myctophidae,,,,,,,Native,Regularly occurring,,,N,N,,"Eschmeyer, William N. (editor). 1998. Catalog of fishes. Volumes 1-3. California Academy of Sciences, San Francisco, California. 958 pp. Updates available online at: https://research.calacademy.org/research/ichthyology/catalog/fishcatmain.asp",,,,,,
Notropis atherinoides,,Emerald Shiner,,F-NOAT,AFCJB28120,G5,Aug-15,SU,May-19,May-10,,,Unknown,,,,,,,,,4 - Secure(2005),,Vertebrate Animal,ray-finned fishes,,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,,,,,,,Native,Regularly occurring,,,N,Y,,"Robins, C.R., R.M. Bailey, C.E. Bond, J.R. Brooker, E.A. Lachner, R.N. Lea, and W.B. Scott. 1991. Common and scientific names of fishes from the United States and Canada. American Fisheries Society, Special Publication 20. 183 pp.",,,,,,
